%time,field.pos_north,field.pos_east,field.pos_heading,field.vel_north,field.vel_east,field.vel_heading,field.acc_north,field.acc_east,field.acc_heading,secs_since_start
1590602711229092790,152.395849057,1128.15493301,0.000230055541765,-3.29840100459e-14,-2.99061521208e-13,2.37481365163e-14,1.94963098129e-15,-5.62099195314e-15,-1.12416709602e-20,0.0
1590602711329970282,152.395849057,1128.15493301,0.000230055541765,-3.2788567431e-14,-2.99625002901e-13,2.37481353893e-14,1.94963098129e-15,-5.62099195314e-15,-1.12416709602e-20,0.100877312
1590602711433105224,152.395849057,1128.15493301,0.000230055541765,-3.25918632721e-14,-3.00192121758e-13,2.37481342551e-14,1.94963098129e-15,-5.62099195314e-15,-1.12416709602e-20,0.204012288
1590602711528917091,152.395849057,1128.15493301,0.000230055541765,-3.23996177459e-14,-3.00746385907e-13,2.37481331466e-14,1.94963098129e-15,-5.62099195314e-15,-1.12416709602e-20,0.299824128
1590602711629626653,152.395849057,1128.15493301,0.000230055541765,-3.22041556081e-14,-3.01309923886e-13,2.37481320196e-14,1.94963098129e-15,-5.62099195314e-15,-1.12416709602e-20,0.40053376
1590602711735134688,152.395849057,1128.15493301,0.000230055541765,-3.20093288906e-14,-3.01871629882e-13,2.37481308962e-14,1.94963098129e-15,-5.62099195314e-15,-1.12416709602e-20,0.506041856
1590602711828935812,152.395849057,1128.15493301,0.000230055541765,-3.18148610205e-14,-3.02432301283e-13,2.37481297749e-14,1.94963098129e-15,-5.62099195314e-15,-1.12416709602e-20,0.599843072
1590602711931608449,152.395849057,1128.15493301,0.000230055541765,-3.16188508503e-14,-3.02997419297e-13,2.37481286447e-14,1.94963098129e-15,-5.62099195314e-15,-1.12416709602e-20,0.702515712
1590602712031764076,152.395849057,1128.15493301,0.000230055541765,-3.14245642632e-14,-3.0355756804e-13,2.37481275244e-14,1.94963098129e-15,-2.78868318411e-15,-1.56906862006e-21,0.802671104
1590602712130587467,152.395849057,1128.15493301,0.000230055541765,-3.12291486083e-14,-3.0383708368e-13,2.37481273672e-14,1.94963098129e-15,6.00851291464e-17,8.15974462049e-21,0.901494528
1590602712231937958,152.395849057,1128.15493301,0.000230055541765,-3.10351116339e-14,-3.03831103709e-13,2.37481281793e-14,1.94963098129e-15,2.88875504463e-15,1.78199199316e-20,1.002845184
1590602712334860390,152.395849057,1128.15493301,0.000230055541765,-3.083457822e-14,-3.03533974705e-13,2.37481300122e-14,1.94963098129e-15,5.81213001989e-15,1.78199199316e-20,1.105767424
1590602712431767781,152.395849057,1128.15493301,0.000230055541765,-3.06443528373e-14,-3.02966885513e-13,2.37481317509e-14,1.94963098129e-15,8.58523457404e-15,8.34950558511e-21,1.202674944
1590602712529740392,152.395849057,1128.15493301,0.000230055541765,-3.04501071551e-14,-3.0211152121e-13,2.37481325827e-14,1.94963098129e-15,8.58523457404e-15,8.34950558511e-21,1.300647424
1590602712633477202,152.395849057,1128.15493301,0.000230055541765,-3.02554793841e-14,-3.01254474371e-13,2.37481334162e-14,1.94963098129e-15,5.74795202754e-15,8.34950558511e-21,1.404384256
1590602712729187754,152.395849057,1128.15493301,0.000230055541765,-3.00611030851e-14,-3.00681409185e-13,2.37481342487e-14,1.94963098129e-15,5.74795202754e-15,8.34950558511e-21,1.500094976
1590602712829040645,152.395849057,1128.15493301,0.000230055541765,-2.98662317441e-14,-3.00106884502e-13,2.37481350832e-14,1.94963098129e-15,5.74795202754e-15,8.34950558511e-21,1.599947776
1590602712930309898,152.395849057,1128.15493301,0.000230055541765,-2.96710192191e-14,-2.99531353933e-13,2.37481359193e-14,1.94963098129e-15,5.74795202754e-15,8.34950558511e-21,1.701217024
1590602713031353965,152.395849057,1128.15493301,0.000230055541765,-2.94763877295e-14,-2.98957536387e-13,2.37481367528e-14,1.94963098129e-15,5.74795202754e-15,8.34950558511e-21,1.802260992
1590602713128999676,152.395849057,1128.15493301,0.000230055541765,-2.92817873833e-14,-2.98383810659e-13,2.37481375862e-14,1.24041029455e-15,5.74795202754e-15,8.34950558511e-21,1.899906816
1590602713228943611,152.395849057,1128.15493301,0.000230055541765,-2.91577402617e-14,-2.97808987225e-13,2.37481384212e-14,5.29832661035e-16,5.74795202754e-15,8.34950558511e-21,1.999850752
1590602713330355232,152.395849057,1128.15493301,0.000230055541765,-2.91045165291e-14,-2.97231583294e-13,2.37481392599e-14,-1.83934898562e-16,5.74795202754e-15,8.34950558511e-21,2.101262336
1590602713430006742,152.395849057,1128.15493301,0.000230055541765,-2.91228471155e-14,-2.9665875382e-13,2.3748140092e-14,-8.92047666203e-16,5.74795202754e-15,8.34950558511e-21,2.20091392
1590602713530165098,152.395849057,1128.15493301,0.000230055541765,-2.92122125837e-14,-2.96082923129e-13,2.37481409285e-14,-1.60387043815e-15,5.74795202754e-15,8.34950558511e-21,2.301072128
1590602713632195262,152.395849057,1128.15493301,0.000230055541765,-2.93721666062e-14,-2.95509679788e-13,2.37481417612e-14,-2.31249481369e-15,5.74795202754e-15,8.34950558511e-21,2.403102464
1590602713729761694,152.395849057,1128.15493301,0.000230055541765,-2.96033094581e-14,-2.94935149624e-13,2.37481425957e-14,-2.31249481369e-15,5.74795202754e-15,8.34950558511e-21,2.500668928
1590602713829922296,152.395849057,1128.15493301,0.000230055541765,-2.9833640735e-14,-2.94362636716e-13,2.37481434274e-14,-2.31249481369e-15,5.74795202754e-15,8.34950558511e-21,2.60082944
1590602713928973587,152.395849057,1128.15493301,0.000230055541765,-3.00651287268e-14,-2.9378724867e-13,2.37481442632e-14,-1.60121922503e-15,5.74795202754e-15,8.34950558511e-21,2.699880704
1590602714029914534,152.395849057,1128.15493301,0.000230055541765,-3.0225072978e-14,-2.9321309126e-13,2.37481450972e-14,-1.60121922503e-15,5.74795202754e-15,8.34950558511e-21,2.80082176
1590602714128971727,152.395849057,1128.15493301,0.000230055541765,-3.03851932207e-14,-2.92638302088e-13,2.37481459321e-14,-1.60121922503e-15,5.74795202754e-15,8.34950558511e-21,2.899878912
1590602714229285410,152.395849057,1128.15493301,0.000230055541765,-3.0545459296e-14,-2.92062989415e-13,2.37481467678e-14,-1.60121922503e-15,5.74795202754e-15,-1.36551527313e-21,3.000192512
1590602714329101944,152.395849057,1128.15493301,0.000230055541765,-3.07051874708e-14,-2.91489607662e-13,2.37481466316e-14,-1.60121922503e-15,5.74795202754e-15,-1.10479296437e-20,3.10000896
1590602714429007687,152.395849057,1128.15493301,0.000230055541765,-3.0865480651e-14,-2.90914197689e-13,2.37481455257e-14,-1.60121922503e-15,5.74795202754e-15,-2.07645935542e-20,3.199914752
1590602714534164821,152.395849057,1128.15493301,0.000230055541765,-3.10323164412e-14,-2.90315301483e-13,2.37481433621e-14,-1.60121922503e-15,5.74795202754e-15,-2.07645935542e-20,3.305071872
1590602714628790288,152.395849057,1128.15493301,0.000230055541765,-3.11851847631e-14,-2.89766544781e-13,2.37481413797e-14,-1.60121922503e-15,5.74795202754e-15,-1.14980102536e-20,3.399697408
1590602714729370102,152.395849057,1128.15493301,0.000230055541765,-3.13456875298e-14,-2.89190382449e-13,2.37481402272e-14,-1.60121922503e-15,5.74795202754e-15,-1.14980102536e-20,3.500277248
