%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z,
1.58802269347044E+018,152.393776861,1128.15739854,-2.1216593761,0.0015035148,0.0001252941,0.1253951657,1.544206848
1.58802269352238E+018,152.39430871,1128.15663347,-2.121657677,-0.0004348814,-0.000430827,0.1815893304,1.59615104
1.58802269357207E+018,152.394598996,1128.15586656,-2.1216600882,-0.0020804895,-0.000284081,0.2360173757,1.645835776
1.58802269362153E+018,152.394751506,1128.15534824,-2.1216607148,-0.0041975676,-1.89784845905E-05,0.3246003234,1.695303168
1.58802269367869E+018,152.39482676,1128.15453344,-2.1216596948,-0.0060658057,0.0001678678,0.3926249478,1.752456704
1.58802269372356E+018,152.394857883,1128.1539107,-2.1216581566,-0.0071316595,0.000265219,0.4530796573,1.797328896
1.58802269377077E+018,152.395393568,1128.15320612,-2.1216568651,-0.0089220554,-0.0003062366,0.5469141834,1.844544768
1.58802269382141E+018,152.395689615,1128.15225901,-2.1216596506,-0.0102755793,-0.0001906378,0.6182132412,1.895178752
1.5880226938723E+018,152.395848743,1128.15130869,-2.1216606734,-0.0110361799,1.53213945202E-05,0.6811676925,1.946068992
1.58802269392449E+018,152.39593115,1128.15063857,-2.1216600731,-0.0112383054,0.000160844,0.7416124162,1.99825664
1.58802269397165E+018,152.395965937,1128.1499217,-2.1216588512,-0.0112545404,0.0002051798,0.8369434102,2.045415424
1.58802269402284E+018,152.39597956,1128.1489565,-2.1216578196,-0.011266221,0.0001850724,0.9098762615,2.096604928
1.58802269407123E+018,152.39598004,1128.14822244,-2.1216572038,-0.0104593382,0.0001230999,0.9740080248,2.145001728
1.58802269412579E+018,152.39597349,1128.1474338,-2.1216570898,-0.0095610567,4.91822663231E-05,1.0347413696,2.199557632
1.58802269417721E+018,152.395963491,1128.14664444,-2.1216573082,-0.0073921573,-0.000041418,1.1291996094,2.25097728
1.58802269422402E+018,152.395957558,1128.14563959,-2.121657804,-0.0056236613,-0.0001162958,1.2003393383,2.29779072
1.58802269427334E+018,152.395951274,1128.14489373,-2.1216583206,-0.0033087938,-0.000212545,1.2615959575,2.3471104
1.58802269432326E+018,152.395942445,1128.14411861,-2.1216590075,-0.0011647069,-0.0003237495,1.3182304022,2.39702784
1.58802269437343E+018,152.395930907,1128.14335498,-2.1216598958,0.0021768904,-0.0005181924,1.4035043664,2.447199232
1.58802269442542E+018,152.395922463,1128.14242692,-2.1216614244,0.0044490687,-0.000661932,1.4654429152,2.499187712
1.58802269447109E+018,152.395914899,1128.14154809,-2.1216630633,0.0063836132,-0.0007618201,1.5168344341,2.54486016
1.58802269452616E+018,152.395908052,1128.14075979,-2.1216645463,0.0079658698,-0.0008206909,1.5627689754,2.599927296
1.58802269457224E+018,152.395903109,1128.14007637,-2.121665753,0.0090091778,-0.0008356253,1.6274375206,2.64600832
1.58802269462503E+018,152.395900928,1128.13933009,-2.1216665764,0.0090725594,-0.0008289136,1.6730979515,2.698798592
1.58802269467228E+018,152.395899692,1128.13866816,-2.1216671073,0.0086607602,-0.0007882764,1.7094262101,2.746051328
1.5880226947215E+018,152.395370447,1128.13811351,-2.1216673292,0.0078744183,-0.000098182,1.7401055054,2.795269632
1.58802269477109E+018,152.395070902,1128.13789607,-2.1216635508,0.0049179894,-5.92788819127E-05,1.7790143807,2.844859392
1.58802269482101E+018,152.394905524,1128.13759057,-2.1216614261,0.001766198,-0.0001410145,1.8038244793,2.894779648
1.58802269487417E+018,152.394816801,1128.137318,-2.1216609948,-0.0013625455,-0.0001672522,1.8207688666,2.94793984
1.58802269492709E+018,152.394243769,1128.13711089,-2.1216612288,-0.0044368239,0.0004986394,1.832142053,3.000864
1.58802269497067E+018,152.393925786,1128.13697237,-2.1216577493,-0.0094430051,0.0005922688,1.8383695128,3.044438016
1.58802269502233E+018,152.393755637,1128.13713932,-2.1216554754,-0.0123462166,0.0005340202,1.8378350393,3.096098304
1.58802269507154E+018,152.393142164,1128.13727675,-2.1216548079,-0.0145786741,0.001136099,1.8321317127,3.145313792
1.58802269512122E+018,152.392806372,1128.13766028,-2.1216510257,-0.0169326218,0.0011133043,1.8115353978,3.194988544
1.58802269517193E+018,152.392097659,1128.13803314,-2.1216491063,-0.0184049464,0.0015757073,1.7908649887,3.245703424
1.58802269522122E+018,152.391708631,1128.13839614,-2.1216452908,-0.019243417,0.0013334119,1.7678069687,3.294992896
1.58802269527184E+018,152.391501442,1128.13899843,-2.1216444181,-0.0190440916,0.0010027837,1.741735695,3.34561408
1.58802269532128E+018,152.390866729,1128.13974685,-2.1216456024,-0.0170750449,0.001269769,1.6916113361,3.395047168
1.58802269537427E+018,152.390512921,1128.14047766,-2.1216443009,-0.0152476442,0.000897254,1.6506283571,3.44803968
1.58802269542307E+018,152.390320753,1128.14137925,-2.1216452356,-0.0132368224,0.0004551592,1.6120902506,3.496836096
1.5880226954719E+018,152.390222276,1128.14212419,-2.1216478517,-0.0115646213,0.0001161517,1.5733264607,3.545673216
1.58802269552422E+018,152.38964889,1128.14301529,-2.1216507447,-0.0080645529,0.0004141702,1.5060563503,3.597991424
1.58802269557232E+018,152.38933063,1128.14391635,-2.1216500461,-0.0052889732,0.0001431613,1.4522566025,3.646085632
1.58802269561997E+018,152.389160622,1128.14497818,-2.1216506586,-0.0025408475,-0.000156174,1.4021159987,3.693736448
1.58802269567316E+018,152.388547622,1128.14586965,-2.1216523316,-0.0001627712,0.0002768474,1.3520027775,3.746925568
1.58802269572548E+018,152.38821247,1128.14689745,-2.1216503847,0.0042000676,9.59216516846E-05,1.2661327811,3.79924864
1.58802269577063E+018,152.388031845,1128.14820817,-2.1216501858,0.0077053218,-0.0001268278,1.1986142757,3.844398592
1.58802269582376E+018,152.387410844,1128.14933483,-2.1216514121,0.0103149842,0.0003555231,1.1369226756,3.897529856
1.58802269587373E+018,152.38706939,1128.15055654,-2.1216493764,0.012754251,0.0001824724,1.0767703009,3.94749952
1.58802269592215E+018,152.386888517,1128.15182057,-2.1216495429,0.016040985,-1.86158005407E-05,0.9784672907,3.995923456
1.5880226959705E+018,152.386795324,1128.15309995,-2.1216513358,0.0178997316,-0.0001362943,0.902899932,4.04427264
1.58802269602097E+018,152.386226398,1128.15448952,-2.1216536068,0.0190792082,0.0004437343,0.835792556,4.094735104
1.58802269607237E+018,152.385917348,1128.15588903,-2.1216520523,0.0200125499,0.0003672129,0.7322681503,4.146136576
1.58802269612122E+018,152.38575287,1128.15727572,-2.1216522275,0.0201587348,0.0001864304,0.6537552809,4.194991616
1.58802269617324E+018,152.385672788,1128.15874654,-2.1216539303,0.0200607774,5.26658761165E-05,0.584422915,4.247009024
1.58802269622053E+018,152.385643685,1128.15995442,-2.1216561763,0.0189982639,-6.99783785815E-06,0.519321452,4.29429632
1.58802269627073E+018,152.385112933,1128.16124124,-2.1216581832,0.0176762677,0.0006130011,0.4148996234,4.344495104
1.58802269632094E+018,152.384824652,1128.16280289,-2.121655891,0.0165459275,0.0005152279,0.3357386079,4.3947072
1.5880226963718E+018,152.384675996,1128.16412992,-2.1216553144,0.0146809087,0.0003069121,0.2664694061,4.445571328
1.588022696431E+018,152.384608919,1128.164855,-2.1216550748,0.0120757294,0.0001380932,0.2008298128,4.504768512
1.58802269646895E+018,152.384585536,1128.16650241,-2.1216569964,0.0095772072,5.2182272668E-05,0.0990694421,4.542720512
1.58802269652198E+018,152.384587927,1128.16802274,-2.1216584778,0.0069408284,1.45337365008E-05,0.022493182,4.59574784
1.58802269657021E+018,152.384605118,1128.16954595,-2.1216592947,0.0044987351,6.14671798757E-07,-0.0434314694,4.643977984
1.5880226966231E+018,152.384629527,1128.17077081,-2.1216595959,0.0018921626,-8.08967687027E-06,-0.1046267273,4.696873984
1.58802269667398E+018,152.38465659,1128.1722636,-2.1216594255,-0.0009502657,-6.69231937831E-05,-0.1977641242,4.74774912
1.58802269672144E+018,152.384683924,1128.17362549,-2.1216593388,-0.0030510668,-0.0001122227,-0.2664274941,4.79520896
1.58802269677071E+018,152.384711939,1128.17500126,-2.1216592003,-0.0043777093,-0.0001239653,-0.324551722,4.844478976
1.58802269682395E+018,152.385273217,1128.17631485,-2.1216588817,-0.0048540609,-0.0006500225,-0.4060637204,4.897715968
1.58802269687712E+018,152.385611717,1128.17748679,-2.1216616189,-0.0045611341,-0.0003983794,-0.4632019733,4.950892032
