%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z,
1.58764368586666E+018,152.395488257,1128.1044544,-2.1216683475,-0.039199598,4.39743056622E-05,-0.1140252799,3.199926272
1.58764368591921E+018,152.394948175,1128.10437079,-2.1216705909,-0.0381398755,0.000585162,-0.1178484133,3.252483584
1.58764368596714E+018,152.394650201,1128.10432061,-2.1216718644,-0.0339626691,0.0003647019,-0.1192189455,3.30041472
1.58764368601872E+018,152.39449368,1128.10430836,-2.1216705099,-0.0295332047,9.66432723318E-05,-0.119536799,3.351988736
1.58764368606693E+018,152.394423301,1128.10428552,-2.1216709584,-0.0209572159,-4.31690973605E-05,-0.1184454933,3.400196608
1.58764368612012E+018,152.393869502,1128.10424105,-2.1216716819,-0.017607163,0.0005029059,-0.1154133675,3.453390336
1.58764368617106E+018,152.393570197,1128.10394277,-2.1216685021,-0.0092071993,0.0004015407,-0.1111834304,3.504332288
1.58764368621125E+018,152.392885394,1128.10371918,-2.1216668809,-0.001800524,0.0008371527,-0.1028697962,3.544520192
1.58764368626523E+018,152.392517635,1128.10358185,-2.1216655842,0.0008663484,0.0005676849,-0.099861978,3.598500096
1.58764368632151E+018,152.392325082,1128.10318796,-2.1216620291,0.0105561993,0.0003284981,-0.0887306832,3.654780672
1.58764368636654E+018,152.392237943,1128.10284271,-2.1216628397,0.0184975698,0.0002008258,-0.0784060804,3.69980672
1.58764368642109E+018,152.392210642,1128.10255722,-2.1216639922,0.0255349471,0.0001762454,-0.0675422294,3.754358784
1.58764368646776E+018,152.3916862,1128.10207149,-2.1216648412,0.0313562708,0.0008007651,-0.0557186308,3.801025024
1.58764368651835E+018,152.391403494,1128.10147261,-2.1216616965,0.0389122826,0.0005980219,-0.0338244787,3.851618304
1.58764368656835E+018,152.39125541,1128.10099134,-2.1216611269,0.0431850897,0.0002560202,-0.0161761631,3.901619456
1.58764368662089E+018,152.391181945,1128.1004866,-2.1216608352,0.0455507895,-6.95074869129E-05,0.0002433191,3.954164224
1.5876436866672E+018,152.391148494,1128.09976071,-2.1216645574,0.0461165759,-0.0004744194,0.0265751244,4.000465408
1.58764368671965E+018,152.390608999,1128.0993663,-2.1216664812,0.0452509376,-0.0001160888,0.0466061095,4.052918784
1.58764368676744E+018,152.390308967,1128.09865106,-2.1216675887,0.042462015,-0.0004003306,0.0641655495,4.100711936
1.58764368681839E+018,152.390147971,1128.09817136,-2.1216695326,0.0388193498,-0.0007209995,0.0805404534,4.15165696
1.58764368686566E+018,152.390067419,1128.09759978,-2.1216721638,0.0310263571,-0.0008876797,0.1055190026,4.198927616
1.58764368691956E+018,152.390035964,1128.09693468,-2.1216742948,0.0240163576,-0.0008803178,0.1236931979,4.252833536
1.58764368696553E+018,152.390033923,1128.09649328,-2.1216751456,0.0174185028,-0.0007403871,0.1387557534,4.2987968
1.58764368701985E+018,152.390050232,1128.09596363,-2.1216746479,0.0103250113,-0.0004975167,0.151987972,4.353120768
1.58764368706665E+018,152.389545699,1128.09563286,-2.1216729158,-0.0010557416,0.0004892195,0.1702651467,4.3999232
1.58764368711633E+018,152.389270442,1128.09515602,-2.1216663089,-0.009926082,0.0006141044,0.1827809756,4.449603072
1.58764368716365E+018,152.389123436,1128.09486185,-2.1216620919,-0.0173366935,0.0005296884,0.1924163445,4.496915456
1.5876436872205E+018,152.389047508,1128.09468678,-2.1216605945,-0.0241694657,0.0004117634,0.2002270652,4.553774336
1.58764368726551E+018,152.389012305,1128.09458854,-2.1216609796,-0.0345617861,0.0003180125,0.2094118969,4.598783232
1.58764368731546E+018,152.389002606,1128.09452836,-2.1216623966,-0.0411745657,0.0002664943,0.2149840999,4.648728576
1.58764368736459E+018,152.389007786,1128.09426305,-2.1216641686,-0.0460485123,0.0002504539,0.2186002199,4.6978624
1.58764368741518E+018,152.389020045,1128.09412167,-2.1216657782,-0.0507083804,0.000213779,0.2215110383,4.748452864
1.58764368746305E+018,152.389032733,1128.09428804,-2.1216672109,-0.0524776328,0.0001353607,0.2227976997,4.79631616
1.58764368751342E+018,152.389042507,1128.09439486,-2.1216686827,-0.0529257005,1.81011519568E-05,0.2231941385,4.846692352
1.58764368756302E+018,152.389048493,1128.09446588,-2.1216702662,-0.0521599207,-0.0001288109,0.2230639452,4.896288256
1.58764368761849E+018,152.389052169,1128.09451178,-2.1216719063,-0.0486349531,-0.0003391438,0.2221120092,4.951761408
1.58764368766396E+018,152.389055016,1128.09453943,-2.1216738045,-0.0446495959,-0.0004653633,0.2211489208,4.997229568
1.58764368771529E+018,152.389057334,1128.09455249,-2.1216752559,-0.039604454,-0.000536328,0.2200621081,5.048562176
1.58764368776369E+018,152.389059016,1128.09455339,-2.121676089,-0.0340243679,-0.000576033,0.2187399749,5.09695616
1.58764368781365E+018,152.389062364,1128.09454624,-2.1216763868,-0.0244570057,-0.000507417,0.2156857868,5.146921984
1.58764368786457E+018,152.389069313,1128.09453944,-2.1216758038,-0.0169684419,-0.00038779,0.2129215096,5.197843968
1.58764368791752E+018,152.389078909,1128.0947716,-2.1216744669,-0.0100387648,-0.0002344154,0.210118484,5.250787328
1.58764368796598E+018,152.389089164,1128.09490239,-2.1216726821,4.13268039632E-05,0.000011537,0.205411042,5.29925376
1.58764368801522E+018,152.389097914,1128.09497884,-2.1216702471,0.0077185579,0.0001621169,0.2018901033,5.34849408
1.58764368806542E+018,152.389104011,1128.09501915,-2.1216680965,0.0145842455,0.0002456243,0.1988954295,5.398691328
1.58764368811401E+018,152.389107071,1128.09503613,-2.1216665898,0.0209793783,0.0002732646,0.1961752174,5.447284224
1.58764368816372E+018,152.389107701,1128.09503735,-2.1216658643,0.0311044978,0.0002335217,0.1921659207,5.496994304
1.58764368821774E+018,152.389106991,1128.09503179,-2.12166604,0.0379967975,0.0001840258,0.189258226,5.551010816
1.58764368826405E+018,152.389105825,1128.0950231,-2.1216667732,0.0431716243,0.0001306047,0.1868293586,5.597315584
1.58764368831298E+018,152.389104601,1128.09501478,-2.1216678093,0.0472502924,7.77682631209E-05,0.184622137,5.646245888
1.58764368836547E+018,152.389103761,1128.09501009,-2.1216689376,0.0521513796,1.68354692268E-05,0.1812738327,5.698744832
1.58764368841559E+018,152.389103458,1128.09501785,-2.1216700679,0.053967726,-1.46520855898E-05,0.1787146574,5.748864256
1.58764368846467E+018,152.389103799,1128.09503678,-2.1216709594,0.0540787471,-2.37982083359E-05,0.1763434456,5.79794176
1.58764368851317E+018,152.38910503,1128.0948308,-2.1216715624,0.0524846328,-8.37243934977E-06,0.1738310183,5.846436864
1.58764368856499E+018,152.389107937,1128.09474417,-2.1216717431,0.0474779407,7.13640550435E-05,0.1685101918,5.89826176
1.58764368861271E+018,152.3891136,1128.09475395,-2.1216712629,0.0419404582,0.000166979,0.1635585344,5.945979904
1.58764368866499E+018,152.389122886,1128.09482024,-2.1216703214,0.0355522406,0.0002921301,0.1581240466,5.998264832
1.5876436887142E+018,152.389135212,1128.09492439,-2.1216689566,0.0284429128,0.0004297794,0.1519261915,6.047465984
1.58764368876381E+018,152.389678739,1128.09529424,-2.1216672537,0.0161287857,2.10908340111E-05,0.1397484835,6.097080832
1.58764368881429E+018,152.389994598,1128.09562081,-2.1216686864,0.0065058798,0.0002553635,0.1297115414,6.147561984
1.5876436888648E+018,152.390176799,1128.09589955,-2.1216681279,-0.0016463888,0.0005215551,0.1202982295,6.198071552
1.58764368891626E+018,152.390279786,1128.09614067,-2.1216662488,-0.0088715411,0.0006634263,0.1109943671,6.24952576
1.58764368896379E+018,152.39033412,1128.09659247,-2.1216642835,-0.0187979827,0.0005382905,0.0958062509,6.297058816
1.58764368901274E+018,152.39035872,1128.0969635,-2.1216638656,-0.0256560649,0.0003880785,0.0842511244,6.346008064
1.58764368906303E+018,152.390368219,1128.09749762,-2.1216644141,-0.0308585754,0.0002247607,0.0740504517,6.396295936
1.58764368911429E+018,152.390897962,1128.09787337,-2.1216655358,-0.0376356858,-0.0006305754,0.0583942279,6.44755712
1.58764368916412E+018,152.391195728,1128.09842904,-2.1216709636,-0.0413894487,-0.000660808,0.046494409,6.497392896
1.58764368921331E+018,152.39136,1128.09881926,-2.1216739695,-0.0437410805,-0.000534497,0.0359637692,6.546576896
1.58764368926411E+018,152.391446116,1128.09933705,-2.1216745667,-0.0445182519,-0.0004364064,0.0259043092,6.597384704
1.58764368931463E+018,152.391486503,1128.0999176,-2.1216739246,-0.0436865015,-0.0004070223,0.0096963663,6.647903744
1.58764368936481E+018,152.391500209,1128.10032634,-2.1216730306,-0.0418866676,-0.0003793791,-0.0026504076,6.69807744
1.5876436894148E+018,152.392028939,1128.10084681,-2.1216719903,-0.0389516667,-0.0009608639,-0.0135118249,6.748073472
1.58764368946417E+018,152.392322015,1128.1011802,-2.1216745885,-0.035448871,-0.0007840092,-0.0237208748,6.79744128
1.58764368951374E+018,152.392482585,1128.10163519,-2.1216748493,-0.0280228367,-0.0003778322,-0.0394722778,6.847009536
1.58764368956396E+018,152.392568796,1128.10194614,-2.1216725739,-0.0216297595,-3.28447877713E-05,-0.051026903,6.897226496
1.58764368961376E+018,152.392611911,1128.10238688,-2.12166924,-0.0150283925,0.0002133115,-0.0607029706,6.947029504
1.58764368966374E+018,152.393155489,1128.10288568,-2.1216659696,-0.0040376028,-0.0002405886,-0.0738919835,6.997010176
1.58764368971469E+018,152.393452612,1128.10319532,-2.1216670037,0.0041829634,-8.77948257061E-05,-0.082988156,7.047963136
1.58764368976565E+018,152.39360788,1128.10337716,-2.1216669705,0.0112454828,0.000108738,-0.0900490731,7.098915328
1.58764368981469E+018,152.393681881,1128.10347605,-2.1216660965,0.017991445,0.0002148822,-0.0957443938,7.147959296
1.58764368986408E+018,152.3937105,1128.10375553,-2.1216652615,0.029077367,0.0002178929,-0.1023383042,7.19735168
1.58764368991715E+018,152.394245914,1128.10390166,-2.1216651045,0.0368787525,-0.0004099927,-0.1062566002,7.250415616
1.58764368996278E+018,152.394538399,1128.1039614,-2.1216690632,0.0421686932,-0.0002855939,-0.1086549238,7.296052736
1.5876436900222E+018,152.394699232,1128.10397406,-2.1216709267,0.0467865642,-7.21544542511E-06,-0.109230272,7.35546624
1.58764369006433E+018,152.394787714,1128.10395358,-2.1216706676,0.0524095135,0.000376108,-0.1094806373,7.397597952
1.5876436901154E+018,152.394835951,1128.10391425,-2.1216685337,0.0551445987,0.0006569844,-0.1081391114,7.448672
1.58764369016433E+018,152.394858501,1128.103627,-2.1216659093,0.0551060752,0.0008374691,-0.1053941178,7.497603584
1.58764369021522E+018,152.394866917,1128.10343497,-2.1216635103,0.0547172554,0.0009261309,-0.1011366778,7.5484928
1.58764369026532E+018,152.39539005,1128.1032933,-2.1216616216,0.0524956966,0.000222725,-0.097967586,7.59859456
1.58764369031759E+018,152.395674042,1128.10320808,-2.1216604061,0.0497376905,0.0001432348,-0.0879848237,7.650860544
1.58764369036806E+018,152.395819559,1128.1030834,-2.1216641156,0.0471226872,0.0001154006,-0.0707313318,7.701330944
1.58764369042161E+018,152.395875946,1128.10301585,-2.1216658568,0.0437780934,0.0001578773,-0.0648575572,7.754876672
1.58764369047681E+018,152.395895608,1128.1026102,-2.1216665086,0.0401996135,4.95499048575E-05,-0.0536416385,7.81007744
1.58764369052251E+018,152.395892802,1128.10232473,-2.1216670474,0.0317625553,-0.0001864829,-0.0287591431,7.855781632
1.58764369056934E+018,152.396408656,1128.10203836,-2.121668146,0.0244534588,-0.0009482134,-0.0077527926,7.90261376
1.58764369062024E+018,152.396692418,1128.10153699,-2.1216727159,0.0172819222,-0.0009050143,0.0125777276,7.953510656
1.58764369067066E+018,152.396845406,1128.10115921,-2.1216745243,0.0051670719,-0.0006440995,0.047184179,8.00393216
1.58764369071664E+018,152.396924694,1128.10054397,-2.1216736267,-0.0047856476,-0.0003792055,0.0743958409,8.049909248
1.58764369076502E+018,152.396963402,1128.10007195,-2.1216712792,-0.0134470668,-0.0001391199,0.0990959417,8.098288128
1.58764369081611E+018,152.396980379,1128.09969547,-2.1216684452,-0.0215207446,8.24742904468E-05,0.1230750497,8.149374976
1.58764369086395E+018,152.396986162,1128.09937879,-2.1216657431,-0.0344697644,0.0004118637,0.1618859282,8.197221632
1.58764369091807E+018,152.396986152,1128.09901657,-2.121662798,-0.0432408801,0.0006207433,0.1913035351,8.25133568
1.58764369096414E+018,152.396983211,1128.09843753,-2.1216605979,-0.050344431,0.0007659219,0.2171418294,8.297405696
1.58764369101745E+018,152.397507881,1128.09798681,-2.1216592925,-0.0588856671,0.0002911687,0.2561440435,8.35071488
1.58764369106469E+018,152.397803625,1128.09753005,-2.121662251,-0.0633784897,0.0004432396,0.2852364532,8.397964032
1.5876436911147E+018,152.397967989,1128.09711845,-2.1216638814,-0.065628572,0.0006440006,0.3104253791,8.447974656
1.58764369116529E+018,152.398055604,1128.09674998,-2.1216643318,-0.0659631972,0.0007394662,0.3338443916,8.49855488
1.58764369121709E+018,152.398098477,1128.09641058,-2.1216645023,-0.064730131,0.0006275332,0.3698662173,8.5503552
1.58764369126519E+018,152.398115367,1128.09601004,-2.1216654726,-0.0626651299,0.0004724809,0.3964775284,8.598464512
1.58764369131482E+018,152.398117113,1128.09563086,-2.1216669453,-0.0597761499,0.0002881982,0.4189662607,8.6480896
1.58764369136513E+018,152.398110784,1128.09528746,-2.1216687041,-0.0565349295,9.45579002498E-05,0.4393497001,8.6984
1.58764369141873E+018,152.39810021,1128.09497589,-2.1216704432,-0.0506851375,-0.0001733554,0.4688446964,8.752001536
