%time,field.star_effort,field.port_effort,secs_since_start
1592906117594415206,-70.8556950092,-58.2066714764,0.0
1592906117793557160,-70.4413056374,-55.1092982292,0.199142144
1592906117995117988,-70.1267361641,-55.7087182999,0.400702976
1592906118193198845,-65.8158242702,-52.6584863663,0.598783744
1592906118392220426,-63.7384176254,-52.721786499,0.797805312
1592906118592405009,-66.5301978588,-61.079877615,0.997989888
1592906118792691270,-66.0962283611,-61.7429494858,1.198276096
1592906118998055142,-61.1320853233,-59.3150436878,1.403640064
1592906119196387148,-62.7126812935,-60.2740228176,1.601971968
1592906119391991241,-60.256934166,-55.8352231979,1.797576192
1592906119594092854,-55.8760643005,-49.9697566032,1.999677696
1592906119793598303,-53.8830339909,-44.4910258055,2.199183104
1592906119993644972,-53.6312580109,-41.4717674255,2.399229952
1592906120192311781,-43.232601881,-35.3812843561,2.597896704
1592906120392992599,-38.4628176689,-32.7632576227,2.798577408
1592906120591833751,-34.6941202879,-33.0144137144,2.997418752
1592906120793039142,-28.142118454,-35.9061002731,3.198624
1592906120993311196,-31.7034691572,-42.8329974413,3.398896128
1592906121194045973,-25.6508231163,-34.312197566,3.599630848
1592906121393098108,-12.4860413373,-18.4323772788,3.79868288
1592906121592378033,-5.98878227174,-9.7979106009,3.997963008
1592906121792874843,-11.6979219019,-5.1488801837,4.198459648
1592906121992485639,2.94688642025,1.97404436767,4.398070528
1592906122193394399,12.6385584474,4.90000136197,4.598979328
1592906122392247465,22.4826216698,5.91881908476,4.797832448
1592906122594418318,46.9747841358,14.7120431066,5.000003328
1592906122791473814,40.5970305204,8.83336812258,5.197058816
1592906122992756070,33.5881143808,5.89221380651,5.398340864
1592906123192210673,37.4449014664,10.1791456342,5.597795584
1592906123391902143,35.3023201227,17.7675232291,5.797487104
1592906123591659973,28.9728194475,19.9926510453,5.997244928
1592906123792274473,35.5821877718,26.5677422285,6.197859328
1592906123993508409,40.2626395226,31.1038702726,6.399093248
1592906124211394183,35.9383523464,31.3430935144,6.6169792
1592906124471811363,34.3415379524,24.3974581361,6.877396224
1592906124637818322,35.4422092438,21.7400804162,7.043403264
1592906124793676254,29.9107551575,23.6008062959,7.199261184
1592906125375120299,26.3436049223,23.7567588687,7.78070528
1592906125375164057,20.0152173638,19.1888183355,7.780749056
1592906125394246108,12.0513439178,19.3032667041,7.79983104
1592906125694291315,13.3041083813,19.0555602312,8.099876096
1592906126145857870,7.3463819921,13.2520616055,8.551442688
1592906126145889241,15.7443836331,8.61540138721,8.551474176
1592906126305667360,14.7772118449,1.6408842057,8.711252224
1592906126463139231,-2.53131110221,-9.8793245852,8.868724224
1592906126612358217,-19.9674651027,-16.4370268583,9.01794304
1592906127082153240,-38.0773842335,-23.446212709,9.487738112
1592906127082204603,-38.8324797153,-25.5835354328,9.487789568
1592906127227833381,-39.8635655642,-22.7440863848,9.63341824
1592906127391670145,-46.7154622078,-28.6151051521,9.797255168
1592906127677574719,-44.1202163696,-27.0872741938,10.083159552
1592906127847195692,-38.337790966,-29.22077775,10.252780544
1592906127993254503,-40.7600045204,-43.550118804,10.398839296
1592906128014688388,0.0,0.0,10.420273408
1592906128211305930,-45.6545352936,-52.6743113995,10.61689088
1592906128409815099,-47.0326632261,-50.0207960606,10.815399936
1592906129007671419,-53.055870533,-45.6347495317,11.413256192
1592906129007734482,-45.1971173286,-42.4685925245,11.413319424
1592906129012604798,-40.2326643467,-38.6856406927,11.418189568
1592906129192889151,-43.4284597635,-35.5803608894,11.598473984
1592906129395151484,-39.6289199591,-34.3897789717,11.800736256
1592906129597892855,-42.0714735985,-41.5291070938,12.00347776
1592906129795704023,-45.6761777401,-43.9911961555,12.20128896
1592906129997180749,-48.8449394703,-48.1324732304,12.402765568
1592906130192726861,-56.165009737,-51.5602767467,12.59831168
1592906130398210843,-53.7024915218,-46.2206423283,12.803795712
1592906130595754993,-33.8993370533,-31.8430811167,13.001339904
1592906130800442728,-27.1692574024,-22.5294366479,13.20602752
1592906130995521182,-35.0338220596,-20.1001092792,13.401106176
1592906131192964760,-41.5341943502,-26.1535823345,13.59854976
1592906131396486838,-39.0882432461,-32.6483428478,13.802071808
1592906131595049315,-36.8547528982,-41.3341164589,14.000634112
1592906131792051862,-33.6810827255,-48.5211312771,14.197636864
1592906131992522238,-34.2202067375,-48.5472798347,14.398107136
1592906132192598312,-27.1806895733,-35.9757393599,14.598183168
1592906132392749819,-14.1953796148,-24.0366324782,14.79833472
1592906132592811970,-12.7661138773,-18.8902154565,14.998396928
1592906132792384151,-9.87358987331,-7.21406191587,15.197969152
1592906132993179671,3.94220277667,5.72227500379,15.398764544
1592906133191886314,15.3664618731,10.7679516077,15.597471232
1592906133391781356,27.5736242533,16.7791217566,15.797366272
1592906133593474386,26.6964405775,9.33635085821,15.9990592
1592906133792039681,17.0504018664,1.51130147278,16.197624576
1592906133992083760,20.5439269543,0.867316871881,16.397668608
1592906134191889379,25.6524175406,3.18697951734,16.597474304
1592906134392492733,21.5289369226,3.72317396104,16.798077696
1592906134592843072,16.6132375598,-0.116357207298,16.998427904
1592906134793044869,12.0290189981,-1.16930641234,17.198629888
1592906134992602074,12.0018795133,-3.87916117907,17.398187008
1592906135194277085,18.803653121,-3.04091144353,17.599862016
1592906135395290735,20.2361628413,-5.80899566412,17.80087552
1592906135592933178,27.3003816605,3.50026078522,17.998518016
1592906135792091637,33.7498605251,12.9926130176,18.197676544
1592906135992437726,30.1740676165,17.4923717976,18.398022656
1592906136194491700,18.336494267,12.4310940504,18.600076544
1592906136393869987,9.8472058773,9.80296432972,18.799454976
1592906136592660755,14.6175831556,7.05175101757,18.998245632
1592906136792502260,16.2569507957,-1.2366104871,19.198087168
1592906136992999110,22.0360845327,-11.955113709,19.398584064
1592906137192872341,37.0964854956,-23.9411622286,19.598457344
1592906137392184731,44.4617182016,-27.5286316872,19.797769728
1592906137593785767,43.7674969435,-30.1247745752,19.999370752
1592906137792691115,46.9936788082,-36.319643259,20.198276096
