%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z,secs_since_start
1589543591813982353,152.389084877,1128.14952575,-2.12166359678,0.00235560770769,-0.00041479233359,0.382710076791,0.0
1589543591863881950,152.389089881,1128.15005872,-2.12166447103,-0.00274984161035,-0.000402978168221,0.345116561915,0.04989952
1589543591918392867,152.389625413,1128.15082802,-2.12166475719,-0.00607328566628,-0.000968851819561,0.316307410318,0.104410368
1589543591966343082,152.38993429,1128.15143832,-2.12166819492,-0.00901572900578,-0.00076951144827,0.29078108301,0.152360704
1589543592017751546,152.390113531,1128.15217004,-2.12166888896,-0.01115297496,-0.000433483164576,0.266655241958,0.203769088
1589543592064191745,152.390218441,1128.15272335,-2.12166728134,-0.0142611880513,-8.52760208965e-05,0.229136769314,0.25020928
1589543592115858298,152.390280129,1128.15349175,-2.12166427374,-0.015964068214,0.000156408133605,0.201390226998,0.301875712
1589543592165266583,152.390316219,1128.15408262,-2.12166114999,-0.0171782070707,0.000312335497643,0.177997994607,0.351284224
1589543592217903364,152.39033664,1128.15477891,-2.12165842372,-0.0174322455137,0.000395582732822,0.157044551197,0.403920896
1589543592264251181,152.39034574,1128.15551376,-2.12165632679,-0.0164684888463,0.000386826891709,0.128420785369,0.450268672
1589543592317003684,152.390346461,1128.15607746,-2.12165512949,-0.0156177488153,0.000328648355261,0.109474092606,0.503021312
1589543592366754802,152.390341868,1128.15648572,-2.12165470378,-0.0147899859256,0.000240368544949,0.0958953735265,0.552772352
1589543592412980106,152.390334142,1128.15700797,-2.1216548013,-0.0128217512242,9.08592621235e-05,0.0831347061842,0.59899776
1589543592463880703,152.390324973,1128.15759105,-2.12165550286,-0.0109698735638,-2.38157930723e-05,0.0771017560625,0.64989824
1589543592517585569,152.390314251,1128.15792849,-2.12165636131,-0.00924942354511,-0.000126373165096,0.0754137096386,0.7036032
1589543592562738461,152.390301768,1128.15809904,-2.12165721737,-0.00729370313254,-0.000229030983286,0.0771577156542,0.748755968
1589543592610956896,152.390815498,1128.15838808,-2.12165801397,-0.0030853012849,-0.00100457237208,0.0882584749919,0.796974336
1589543592662637764,152.391098019,1128.15844865,-2.12166282651,0.000132379857564,-0.00100977585023,0.100587799922,0.84865536
1589543592714297710,152.391249409,1128.15861129,-2.12166540607,0.00311632007017,-0.000850070133688,0.115068255,0.900315136
1589543592767468012,152.391328616,1128.15859029,-2.12166582679,0.00549050167279,-0.000691386332639,0.132200885196,0.953485568
1589543592822385372,152.391364551,1128.15854749,-2.1216661355,0.00831950092955,-0.000488933444939,0.139407207015,1.008402944
1589543592862824458,152.391380538,1128.15835292,-2.12166429971,0.0102629103923,-0.000337535141462,0.16801188679,1.048841984
1589543592912614290,152.391384569,1128.15828509,-2.12166253415,0.0120093649671,-0.000206999223273,0.193327085849,1.098631936
1589543592967960741,152.391381399,1128.15822854,-2.12166177654,0.0125502390455,-0.000162937703281,0.217615794291,1.153978368
1589543593017208987,152.391376477,1128.15788127,-2.12166059558,0.0129108443819,-7.01439760446e-05,0.242543918109,1.203226624
1589543593067338481,152.39137165,1128.15752229,-2.12165975401,0.0132752267557,0.000138641616132,0.284879444085,1.253356032
1589543593130643254,152.391368546,1128.15705618,-2.12165848943,0.0130658460408,0.000289290043009,0.317708916371,1.316660736
1589543593160118695,152.391366297,1128.15658911,-2.12165732203,0.0125440282528,0.000400438648472,0.346962869242,1.34613632
1589543593215964069,152.391364737,1128.15638252,-2.12165636965,0.0115593523245,0.000517511241834,0.392620200611,1.401981696
1589543593265374082,152.391363926,1128.15599246,-2.12165547142,0.010197766006,0.000563259081115,0.427406469584,1.451391744
1589543593313795785,152.391363262,1128.15556498,-2.12165493858,0.00863363495718,0.000570642126942,0.458121296093,1.499813376
1589543593361672991,152.391363595,1128.15514503,-2.12165471426,0.00529491720919,0.00055161669699,0.505090824587,1.547690496
1589543593416184022,152.391366235,1128.15487634,-2.12165463103,0.00250599541854,0.000519125869509,0.540058867509,1.6022016
1589543593464737455,152.391369753,1128.15452988,-2.12165465581,-0.000524908097063,0.00047957541857,0.569935396348,1.650755072
1589543593527930459,152.391374075,1128.1541601,-2.12165479323,-0.00425070232131,0.000460678791711,0.59837951012,1.713947904
1589543593563033331,152.391377197,1128.15382242,-2.12165446754,-0.00778375877202,0.000341179949969,0.635519900891,1.74905088
1589543593610948499,152.391382513,1128.15365189,-2.12165470626,-0.0114150384936,0.000281377936727,0.663366228467,1.796966144
1589543593662678773,152.391388326,1128.15340603,-2.12165482167,-0.014212590812,0.000236180418916,0.685244945583,1.84869632
1589543593718501979,152.391394596,1128.15315085,-2.12165479543,-0.0163746337265,0.000203214667985,0.703378959888,1.904519424
1589543593766635586,152.391401551,1128.1531501,-2.12165461486,-0.0193838762049,0.000165753575537,0.725196584077,1.952653056
1589543593816947471,152.391409407,1128.15303877,-2.12165447023,-0.0216901491644,0.000147829865583,0.73832052434,2.002964992
1589543593863748579,152.391417113,1128.15315083,-2.12165424774,-0.0229845905331,0.000131312243116,0.746339822611,2.049766144
1589543593911144411,152.391424102,1128.15318048,-2.12165406357,-0.0240977982002,0.000118148634191,0.750662393116,2.097161984
1589543593962096832,152.39195951,1128.15341898,-2.12165389421,-0.024725920796,-0.000531018458875,0.749712682816,2.148114432
1589543594015932056,152.392265189,1128.15380513,-2.12165756008,-0.0244269028339,-0.000441287766721,0.745651956472,2.201949696
1589543594064326762,152.39243824,1128.15405421,-2.12165910787,-0.024070023424,-0.000241042349627,0.738859068699,2.250344192
1589543594115468179,152.392532662,1128.15447499,-2.12165874037,-0.0223079939301,-0.000168121865951,0.721681705734,2.301485824
1589543594165869251,152.392579404,1128.15505033,-2.12165800476,-0.0201926669528,-0.00015140091591,0.706170774678,2.351886848
1589543594214949340,152.392598061,1128.15546272,-2.12165742125,-0.0179933170191,-0.000178553337227,0.690338958382,2.400966912
1589543594263706328,152.392600639,1128.15601649,-2.12165713227,-0.014976032515,-0.000235023732973,0.673651204749,2.449723904
1589543594314776350,152.392594879,1128.15665006,-2.12165717272,-0.00881079116248,-0.000298288151776,0.643421864377,2.500793856
1589543594365550040,152.392584263,1128.15716429,-2.12165749266,-0.00387397065298,-0.000315641181122,0.618967190959,2.551567616
1589543594416285130,152.392571859,1128.1578122,-2.12165769127,0.00099554637634,-0.000304367260733,0.596109070381,2.60230272
1589543594466669788,152.392558963,1128.1585255,-2.12165770837,0.00891166578682,-0.000222138716942,0.558025471802,2.65268736
1589543594518580556,152.3925446,1128.15912324,-2.12165733033,0.0144869403508,-0.000153088435009,0.528208806127,2.704598016
1589543594564160073,152.392529704,1128.15984611,-2.12165682563,0.0193762302956,-9.85991049323e-05,0.501087816496,2.750177536
1589543594615712373,152.392514583,1128.16038884,-2.12165644437,0.0233809761556,-4.69464562096e-05,0.474569400254,2.801729792
1589543594664657237,152.39249963,1128.161063,-2.12165621262,0.0294385393668,3.88661221664e-05,0.430867819891,2.850674688
1589543594716077093,152.392483814,1128.16191119,-2.12165594641,0.0335449273491,7.35191261343e-05,0.397385177773,2.902094592
1589543594770273276,152.392467309,1128.16256357,-2.1216560147,0.0363109650128,7.34685884109e-05,0.367966176494,2.956290816
1589543594817331001,152.392450054,1128.16308044,-2.12165647291,0.0383513385266,4.2741000918e-05,0.340543238298,3.00334848
1589543594865808146,152.392432693,1128.16374711,-2.12165726897,0.0409449376415,-2.54523823793e-05,0.299194500288,3.051825664
1589543594915042001,152.392415247,1128.16434832,-2.12165848299,0.0417200900543,-9.20899456477e-05,0.269078929165,3.101059584
1589543594963211850,152.392398974,1128.16484839,-2.12165985595,0.0411898523826,-0.000154016932899,0.243990488978,3.149229312
1589543595016856810,152.392384166,1128.16550112,-2.12166118202,0.0402795883923,-0.000210403990015,0.22151641924,3.202874368
1589543595065715333,152.392371201,1128.16598948,-2.12166238696,0.0376023807731,-0.000258139987648,0.189318108036,3.251732992
1589543595116157075,152.392359634,1128.16644543,-2.12166337301,0.0348657311677,-0.000290971158714,0.166682610562,3.30217472
1589543595160860522,152.392349331,1128.16706256,-2.12166402604,0.0320415990427,-0.000317060580257,0.148794887673,3.346877952
1589543595216641438,152.392339477,1128.1675083,-2.1216644407,0.0286660978937,-0.000340771984722,0.133882216806,3.402659072
1589543595263422609,152.392329544,1128.16783941,-2.12166462727,0.0229319631398,-0.000380616019567,0.116220461634,3.449440256
1589543595316627385,152.392320491,1128.16812788,-2.12166473158,0.0178305014329,-0.000389179800656,0.105700703876,3.502644992
1589543595367554375,152.39231459,1128.16835364,-2.12166461578,0.0125004377675,-0.000356149043104,0.099315567343,3.55357184
1589543595416372005,152.39178402,1128.16875993,-2.12166410436,0.00344921607987,0.000390646298784,0.0954279813975,3.602389504
1589543595460338829,152.391485291,1128.1690252,-2.12165921167,-0.00370295938997,0.000389004945563,0.0946696324804,3.64635648
1589543595514667722,152.391318242,1128.16918558,-2.12165625682,-0.00966343655106,0.000239922832571,0.0962592438693,3.700685312
1589543595568126790,152.391226359,1128.1692702,-2.12165532822,-0.0151770091426,0.000133085828961,0.0996259505836,3.754144256
1589543595614849103,152.391180497,1128.16930105,-2.12165538729,-0.0234311501326,0.000159112948334,0.109385679236,3.80086656
1589543595662781707,152.391162588,1128.16950397,-2.12165524335,-0.0286818194679,0.00020357178375,0.118407084712,3.848799232
1589543595715620803,152.390632019,1128.16956622,-2.12165494864,-0.0326932297885,0.000877761216712,0.127756463809,3.9016384
1589543595763937542,152.390338196,1128.1695442,-2.1216508473,-0.0359641778789,0.000824959445754,0.137848494431,3.949955072
1589543595816217731,152.390180745,1128.16946571,-2.12164886086,-0.0382208547985,0.000643743892285,0.148748771847,4.002235392
1589543595861801890,152.390100813,1128.1693477,-2.12164881574,-0.0405328242893,0.000486943431473,0.168907328768,4.04781952
