%time,field.star_effort,field.port_effort,
1.58764318382969E+018,4.0283314782,-4.602348051,6.836376576
1.58764318383966E+018,13.831279119,11.9619262831,6.846349056
1.58764318411506E+018,13.2642549001,12.8876532851,7.121750272
1.58764318413854E+018,4.2279967218,-5.7064797185,7.145229568
1.58764318446505E+018,13.1559399198,12.2037442935,7.471737344
1.58764318451111E+018,-5.5733127263,-6.9817503494,7.517798656
1.58764318480242E+018,-5.9296571832,-6.2144984761,7.809111808
1.58764318508295E+018,-6.4194669527,-6.5111257335,8.08963584
1.58764318534254E+018,12.5539340056,12.4018066733,8.349234176
1.58764318537641E+018,-5.9568684464,-5.8801058919,8.383095808
1.58764318567563E+018,-4.6704384799,-4.4522278441,8.682322688
1.58764318569303E+018,12.6045468979,12.8787816316,8.699722752
1.58764318594661E+018,0,0,8.953302528
1.58764318622761E+018,12.8447736441,12.9935671013,9.234295808
1.58764318648178E+018,2.7034324747,0,9.488465408
1.58764318676235E+018,13.0956320885,12.9629050487,9.769034752
1.58764318680738E+018,3.9675844946,-3.3779408129,9.814070272
1.5876431870718E+018,3.9092527842,-5.1569856143,10.078494208
1.58764318733692E+018,13.1501887149,13.2285694992,10.343605248
1.58764318765839E+018,12.8132247185,13.1716889557,10.665080576
1.58764318770525E+018,3.580019998,-3.9938038289,10.711941888
1.58764318794252E+018,-4.2285594839,-4.8544715403,10.949211392
1.58764318835324E+018,-42.2911884823,-43.3060936336,11.359931136
1.58764318840269E+018,-42.0563388689,-43.3060936335,11.409381632
1.58764318866805E+018,-60.1713178426,-61.0513685158,11.674744576
1.58764318901465E+018,-73.4585089733,-71.0802527115,12.02134272
1.58764318903945E+018,-73.975937593,-74.6935167836,12.046135552
1.58764318938872E+018,-76.9794419439,-76.9144831697,12.395406848
1.58764318942546E+018,-71.8542175337,-71.8216590198,12.432147968
1.58764318966842E+018,-71.8513603896,-71.8245672952,12.675106304
1.58764318994085E+018,-75.6281399759,-75.5963198377,12.947535872
1.58764318996812E+018,-67.7768553371,-67.7573177542,12.974810112
1.58764319021866E+018,-74.8261093089,-74.8153948147,13.225349376
1.58764319040598E+018,-74.8261093089,-74.8153948147,13.412664832
1.58764319064529E+018,-61.2135179715,-61.200420337,13.651976192
1.58764319096798E+018,-72.6515105629,-72.629694193,13.97467392
1.58764319098101E+018,-43.5343879089,-43.5159694545,13.98770176
1.58764319136345E+018,-6.5871905032,-6.4643441813,14.370140928
1.58764319136727E+018,-61.2135179715,-61.2004203369,14.373959936
1.58764319168685E+018,-70.4647819492,-70.4286910556,14.693536256
1.58764319173783E+018,-43.5343879088,-43.5159694545,14.744516352
1.58764319201314E+018,-61.2135179714,-61.2004203369,15.019829248
1.58764319228834E+018,-43.5343879087,-43.5159694544,15.295026432
1.58764319251316E+018,-61.2135179714,-61.2004203368,15.519847936
1.58764319275744E+018,-43.5343879087,-43.5159694544,15.764125952
1.58764319320206E+018,-61.2135179714,-61.2004203383,16.208751104
1.58764319321435E+018,-6.587190503,-6.464344181,16.22103808
1.58764319358321E+018,-43.5343879086,-43.5159694542,16.589896192
1.58764319374292E+018,-43.5343879086,-43.5159694542,16.749607936
1.58764319402587E+018,-61.2135179714,-61.2004203367,17.032558848
1.58764319423667E+018,-43.5343879086,-43.5159694542,17.24335872
1.58764319451021E+018,-61.2135179714,-61.2004203367,17.516900864
1.58764319480841E+018,-43.5343879086,-43.5159694542,17.815104512
1.58764319481721E+018,-58.5399566596,-58.4322334739,17.823903488
1.58764319512542E+018,-56.8706129229,-56.8173615374,18.1321088
1.5876431951302E+018,-39.687206285,-39.5281372213,18.136888576
1.58764319542141E+018,-55.3535275826,-55.3057516163,18.428102656
1.58764319577685E+018,-53.4642941192,-53.4358156474,18.78353664
1.58764319580585E+018,-46.0218429828,-46.0610829939,18.812539136
1.58764319605464E+018,-48.4823320021,-48.5247406427,19.061334528
1.58764319635171E+018,-49.9732604703,-49.9112713113,19.358400512
1.58764319637692E+018,-50.2936562446,-50.3284316767,19.383614464
1.5876431966704E+018,-47.8154373239,-47.7159867258,19.67708672
1.58764319669692E+018,-50.5657072789,-50.5890688478,19.703606528
