%time,field.throttle_bow,field.position_bow,field.lin_act_bow,secs_since_start
1590676130291433820,-29.0773898363,90,2,0.0
1590676130490785584,-30.7583928108,90,2,0.199351808
1590676130686710600,-29.1759282351,90,2,0.3952768
1590676130888039547,-24.1802662611,90,2,0.596605696
1590676131087361705,-17.6150172949,90,2,0.795928064
1590676131286572763,-13.8563871384,90,2,0.995139072
1590676131488193722,-5.76376952231,90,2,1.196760064
1590676131688573709,5.65530285239,90,2,1.397139968
1590676131887144774,12.923425436,90,2,1.595710976
1590676132092056327,14.8238956928,90,2,1.800622592
1590676132285417763,15.1710510254,90,2,1.993984
1590676132487681648,13.8446599245,90,2,2.196247808
1590676132686500295,12.7565890551,90,2,2.395066624
1590676132888040044,12.1366240084,90,2,2.596606208
1590676133087577629,10.4922220111,90,2,2.796143872
1590676133293133333,4.69364263117,90,2,3.001699584
1590676133486108893,0.168672669679,90,2,3.1946752
1590676133686688298,-3.27535048127,90,2,3.395254528
1590676133892414164,-10.9085872769,90,2,3.60098048
1590676134089363286,-21.4793801308,90,2,3.797929472
1590676134288090875,-24.5777875185,90,2,3.996657152
1590676134489852768,-23.0640500784,90,2,4.198418944
1590676134687672779,-19.8508530855,90,2,4.396239104
1590676134888148438,-15.6118303537,90,2,4.596714752
1590676135088455272,-11.3668002188,90,2,4.79702144
1590676135286571589,-8.7539575994,90,2,4.995137792
1590676135490068544,-4.75533753633,90,2,5.198634752
1590676135691257516,0.229982659221,90,2,5.399823872
1590676135888946971,13.1297916174,90,2,5.597513216
1590676136084442962,25.9811043739,90,2,5.793009152
1590676136288086797,36.2672269344,90,2,5.996653056
1590676136491759962,42.612734437,90,2,6.200326144
1590676136684741544,42.7375048399,90,2,6.393307904
1590676136884136143,41.0761713982,90,2,6.592702464
1590676137091775379,38.2715046406,90,2,6.80034176
1590676137284681054,36.3469421864,90,2,6.993247232
1590676137486189583,33.6218386889,90,2,7.19475584
1590676137692237831,31.0133010149,90,2,7.400804096
1590676137887892900,27.5752156973,90,2,7.596459264
1590676138086470051,24.6335059404,90,2,7.795036416
1590676138289338334,21.5205937624,90,2,7.99790464
1590676138502249333,19.0937697887,90,2,8.210815488
1590676138689622272,15.5631124973,90,2,8.398188544
1590676138884384684,15.99368155,90,2,8.59295104
1590676139084861503,18.6264395714,90,2,8.793427712
1590676139284904811,22.1698343754,90,2,8.993470976
1590676139485975511,26.6256600618,90,2,9.194541824
1590676139687417043,31.8716704845,90,2,9.39598336
1590676139889450765,35.723310709,90,2,9.598017024
1590676140085500732,37.573492527,90,2,9.794066944
1590676140288627185,38.3884042501,90,2,9.997193472
1590676140498530758,38.7290686369,90,2,10.207097088
1590676140685219554,36.9253188372,90,2,10.393785856
1590676140889078926,34.7045630217,90,2,10.597645312
1590676141089723317,31.8295508623,90,2,10.798289664
1590676141287201745,28.3235639334,90,2,10.995768064
1590676141486499439,22.9701071978,90,2,11.1950656
1590676141684717330,15.8325225115,90,2,11.393283584
1590676141887571784,11.7231450975,90,2,11.596137984
1590676142088280566,9.50146913528,90,2,11.796846848
1590676142286037270,7.43462815881,90,2,11.99460352
1590676142485134753,5.83606958389,90,2,12.19370112
1590676142691266932,5.46330064535,90,2,12.399833088
1590676142884346098,8.73329862952,90,2,12.592912384
1590676143089315263,14.3927335739,90,2,12.7978816
1590676143289124433,21.6444015503,90,2,12.997690624
1590676143485183553,29.5151919127,90,2,13.19374976
1590676143691094845,37.4272167683,90,2,13.399661056
1590676143889246672,43.7147080898,90,2,13.597812992
1590676144084849496,48.4523892403,90,2,13.79341568
1590676144289758750,52.922219038,90,2,13.998324992
1590676144488051600,56.7948520184,90,2,14.196617984
1590676144690421130,59.5212519169,90,2,14.39898752
1590676144885046546,61.9879007339,90,2,14.5936128
1590676145085011582,61.7622792721,90,2,14.793577728
1590676145289167266,59.7402215004,90,2,14.997733632
1590676145490538248,55.8349788189,90,2,15.199104512
1590676145688996144,49.683535099,90,2,15.397562368
1590676145893053973,40.5393630266,90,2,15.601620224
1590676146089542448,29.8101991415,90,2,15.798108672
1590676146290990515,18.2998269796,90,2,15.999556864
1590676146490791483,6.34143054485,90,2,16.199357696
1590676146687052764,-4.4882606715,90,2,16.395619072
1590676146889292386,-13.6484622955,90,2,16.59785856
1590676147086363678,-21.2780416012,90,2,16.79492992
1590676147286415527,-26.8531531096,90,2,16.994981888
1590676147485959126,-29.1268616915,90,2,17.19452544
1590676147684020468,-30.7566821575,90,2,17.392586752
1590676147887290279,-27.7952820063,90,2,17.59585664
1590676148088263520,-27.2792607546,90,2,17.796829696
1590676148288100013,-24.7863024473,90,2,17.996666368
1590676148486631069,-19.6351826191,90,2,18.19519744
1590676148686470257,-14.85671103,90,2,18.395036416
1590676148886512063,-8.2281075418,90,2,18.5950784
1590676149088301183,0.0231022015214,90,2,18.796867328
1590676149286219237,8.11154469848,90,2,18.994785536
1590676149485632906,14.9384826422,90,2,19.194199296
1590676149688646629,23.3201056719,90,2,19.397212928
1590676149887480781,28.849196434,90,2,19.596047104
1590676150089000417,32.8907966614,90,2,19.79756672
1590676150289897015,41.479074955,90,2,19.998463232
1590676150496639704,47.1740633249,90,2,20.205206016
1590676150692498569,49.4300723076,90,2,20.40106496
1590676150890103579,49.9603509903,90,2,20.598669824
1590676151087560406,49.5300352573,90,2,20.79612672
1590676151289648748,49.0274071693,90,2,20.998214912
