%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z,secs_since_start
1591012528069649206,152.529361498,1128.08327589,-2.1218563171,-0.0106950594351,0.00222126863217,0.111374853334,0.0
1591012528116203716,152.533902663,1128.08079817,-2.12199270219,-0.021210389702,0.00538282046827,0.103643808828,0.046554624
1591012528171335575,152.538295201,1128.07870073,-2.12209850313,-0.0306046495728,0.00756852278851,0.0969498980578,0.101686528
1591012528226521689,152.54421661,1128.07584294,-2.12218670104,-0.0461987424944,0.00907256920816,0.0877710457272,0.156872448
1591012528276588839,152.549382698,1128.07352908,-2.12225619074,-0.0550028944195,0.0117258490433,0.0814475278581,0.206939648
1591012528317461289,152.553631063,1128.07146995,-2.12230606871,-0.0614055321225,0.0150502962159,0.0764096563995,0.247812096
1591012528366952084,152.55734565,1128.06977569,-2.12233273286,-0.065571214655,0.0179391634491,0.0720938152247,0.29730304
1591012528416633677,152.562885398,1128.06731333,-2.12234282344,-0.0709992521574,0.0193260498913,0.0659801881492,0.346984448
1591012528467793025,152.567347343,1128.06512182,-2.12234399053,-0.0720970926977,0.0221870691114,0.0615080378762,0.398144
1591012528517804725,152.571187869,1128.06329857,-2.12232496993,-0.0704209571327,0.0246974222728,0.0575892072054,0.448155648
1591012528566598055,152.575736192,1128.06095033,-2.12229032898,-0.065547069918,0.0263856502193,0.051246908267,0.496948992
1591012528616649758,152.579634162,1128.05900898,-2.12224523594,-0.059281552982,0.0282231731275,0.0461759516183,0.547000576
1591012528668755619,152.582626199,1128.05728882,-2.12218844261,-0.0522124298391,0.0301363928801,0.041433300541,0.59910656
1591012528717684709,152.585108754,1128.05568433,-2.12212207579,-0.0446227220843,0.0314321361514,0.0366301385176,0.648035584
1591012528766671067,152.588887098,1128.05319139,-2.12204946637,-0.0326122751491,0.0309116626464,0.0283187367151,0.697021952
1591012528816155664,152.591821267,1128.05114853,-2.12198078757,-0.0218087058649,0.0317807739886,0.0216979741463,0.746506496
1591012528866750489,152.593747452,1128.04935791,-2.1219053938,-0.0117495976468,0.033219182306,0.0155641941463,0.797101312
1591012528917461080,152.595632056,1128.0474746,-2.1218229985,-0.00245617728024,0.0335931479265,0.0131533295402,0.84781184
1591012528979220469,152.596443332,1128.04646081,-2.12174657136,0.0128974005155,0.035526496882,0.00835224012747,0.909571328
1591012529031544394,152.597699808,1128.04454494,-2.12165949701,0.0169392545079,0.0346699048559,-0.00133279461556,0.961895168
1591012529082335161,152.598701123,1128.04261243,-2.12159027831,0.0286072124433,0.034995696929,-0.00945690363458,1.01268608
1591012529121293956,152.59955298,1128.0408737,-2.12152783392,0.0372920236093,0.0347960820555,-0.0169992873698,1.051644928
1591012529168103109,152.60033438,1128.03907971,-2.12147108625,0.0394222308413,0.0339447778075,-0.0242624881428,1.098454016
1591012529217987672,152.600562185,1128.03649966,-2.12142866443,0.0467917214425,0.0341801341482,-0.0371544075763,1.148338432
1591012529276741234,152.600480457,1128.03446098,-2.12139221966,0.0526948653618,0.0340194374713,-0.0475207594375,1.207091968
1591012529332774250,152.6002286,1128.0324337,-2.12136528754,0.0568235005658,0.0334880526234,-0.0572214011033,1.263124992
1591012529383700640,152.598834808,1128.02977663,-2.12135230255,0.0596164733653,0.0335927291978,-0.0734081620345,1.314051584
1591012529425162184,152.597322647,1128.02755532,-2.12135792325,0.0609625272745,0.032750133159,-0.0863215305494,1.355513088
1591012529474957770,152.595768609,1128.02576584,-2.12138214964,0.060808217837,0.0313451522308,-0.0982321612694,1.405308672
1591012529521976230,152.593666557,1128.02421079,-2.12142672411,0.0595387498486,0.0302592657259,-0.110120975198,1.452327168
1591012529573362993,152.591265007,1128.02255608,-2.12148712257,0.0568174138194,0.0288116592202,-0.122291382261,1.503713792
1591012529622097620,152.587651564,1128.02014366,-2.12156899201,0.049275885358,0.027142897415,-0.1433142573,1.552448512
1591012529668337284,152.583897453,1128.01831084,-2.12167483325,0.0432361033854,0.0248647249388,-0.160003261426,1.598688256
1591012529718697499,152.580077776,1128.01677942,-2.12180430209,0.0371739227147,0.022223995822,-0.175368422923,1.64904832
1591012529770351240,152.574087655,1128.01469429,-2.12196453573,0.0256825679909,0.020262446428,-0.200323749442,1.700702208
1591012529824483410,152.568582317,1128.01310772,-2.12213730264,0.0170879491065,0.0169895039334,-0.219474659418,1.754834176
1591012529869459462,152.563248627,1128.01172527,-2.12234587273,0.00919121746188,0.0132260129694,-0.236996724722,1.799810304
1591012529921701691,152.557565854,1128.01046571,-2.1225753577,0.00147210193931,0.0102412267859,-0.254048329797,1.85205248
1591012529969748163,152.549067841,1128.0088013,-2.12282240617,-0.01156725022,0.00870142461909,-0.282369440912,1.900099072
1591012530025427610,152.541610719,1128.00744546,-2.12308673693,-0.0203720289541,0.00445207549861,-0.304502100076,1.95577856
1591012530075912211,152.534253534,1128.00645538,-2.12337892053,-0.0270326264278,0.000625179731998,-0.324523760504,2.00626304
1591012530121241869,152.526970083,1128.00565126,-2.12368980687,-0.0327131980125,-0.00295234742062,-0.34399599223,2.051592704
1591012530171679511,152.516093895,1128.00423656,-2.12401008375,-0.0410106200188,-0.00364982058075,-0.375549806884,2.102030336
1591012530223085905,152.506113403,1128.00322427,-2.12438615961,-0.0465048173962,-0.00871691912494,-0.399964022865,2.153436672
1591012530276786739,152.497347253,1128.00245108,-2.12466483742,-0.0463613855279,-0.0113171296869,-0.420278177067,2.207137536
1591012530325159520,152.488624005,1128.00170816,-2.12503763362,-0.0477884643076,-0.0155837233863,-0.439805618266,2.255510272
1591012530369546220,152.475462489,1128.00076027,-2.12540844792,-0.0475040665766,-0.0152764202054,-0.468601456786,2.299897088
